date,details,category
January 4,fire alarm activation – Brown St,fire alarm activation
January 4,fire alarm activation – NYS Route 9P,fire alarm activation
January 6,motor vehicle accident – County Route 70,motor vehicle accident
January 8,fire alarm activation – Duell Rd,fire alarm activation
January 17,mutual aid given – Arvin Hart,mutual aid given
January 18,fire alarm activation – NYS Rt 9P,fire alarm activation
January 27,fire alarm activation – Anthony La,fire alarm activation
February 6,rescue call – Franklin Beach Rd,rescue call
February 7,power lines – NYS Rt 32,power lines
February 7,fire alarm activation (cancelled) – NYS Rt 9P,fire alarm activation
February 8,mutual aid given (cancelled) – Victory Mills,mutual aid given
February 12,motor vehicle accident – Burgoyne Rd,motor vehicle accident
February 18,mutual aid given – Arvin Hart,mutual aid given
February 25,fire alarm activation – Condon Rd,fire alarm activation
March 8,mutual aid given – Arvin Hart,mutual aid given
March 8,fire alarm activation – Chapman Hill Rd,fire alarm activation
March 13,motor vehicle accident – County Rts 70 & 71,motor vehicle accident
March 31,good intent – NYS Route 9P,good intent
April 3,mutual aid given – Schuyler Hose,mutual aid given
April 8,fire alarm activation – NYS Rt 9P,fire alarm activation
April 11,structure fire – Fire Lane 7,structure fire
April 12,fire alarm activation – Fitch Rd,fire alarm activation
April 13,good intent – Trombley Rd,good intent
April 13,motor vehicle accident – Spook Hollow Rd,motor vehicle accident
April 13,brush fire – Fire Lane 4,brush fire
April 13,good intent – Fire Lane 2,good intent
April 15,service call – NYS Route 9P,service call
April 15,service call – NYS Route 9P,service call
April 22,fuel leak – NYS Route 9P,fuel leak
April 29,CO detector – NYS Route 9P,CO detector
May 1,water rescue – Hudson River,water rescue
May 16,power lines – County Rt 67,power lines
May 20,mutual aid given – Saratoga Springs,mutual aid given
May 22,structure fire – Wilbur Rd,structure fire
May 22,mutual aid given – Arvin Hart,mutual aid given
May 23,EMS assist – Brown Rd,EMS assist
May 23,power lines – County Rt 71,power lines
May 24,water rescue  – Saratoga Lake,water rescue
May 27,structure fire – NYS Rt 9P,structure fire
May 28,EMS assist – Spruce Ridge,EMS assist
June 4,power lines – NYS Rt 32 S,power lines
June 4,motor vehicle accident – County Rt 70,motor vehicle accident
June 11,power lines – Hiller La,power lines
June 16,mutual aid given – Arvin Hart – cancelled,mutual aid given
June 20,water rescue – Saratoga Lake,water rescue
June 23,water rescue – Saratoga Lake,water rescue
June 24,fire alarm activation – NYS Rt 9P,fire alarm activation
June 29,motor vehicle accident – NYS Rt 32,motor vehicle accident
July 3,motor vehicle accident – NYS Rt 29,motor vehicle accident
July 4,motor vehicle accident – NYS Rt 4,motor vehicle accident
July 7,EMS assist – NYS Rt 9P,EMS assist
July 11,fire alarm activation – NYS Rt 29,fire alarm activation
July 11,EMS assist – NYS Rt 9P,EMS assist
July 14,water rescue (cancelled) – Saratoga Lake,water rescue
July 14,motor vehicle accident – Swamp Rd,motor vehicle accident
July 14,motor vehicle accident – NYS Rt 29,motor vehicle accident
July 17,CO detector – Ashleigh La,CO detector
July 24,fire alarm activation – Walden Cir,fire alarm activation
July 29,motor vehicle accident – NYS Rt 29,motor vehicle accident
July 30,power lines – Fitch Rd,power lines
July 31,fire alarm activation – Ashleigh La,fire alarm activation
August 4,boat fire – Saratoga Lake,boat fire
August 5,good intent – Burke Rd,good intent
August 6,mutual aid given (Arvin Hart - cancelled) – NYS Rt 9P,mutual aid given
August 6,mutual aid given (Arvin Hart – structure fire) – County Rt 70,mutual aid given
August 17,CO detector – Trask La,CO detector
August 22,fire alarm activation – NYS Rt 9P,fire alarm activation
August 26,mutual aid given – Saratoga Lake – water rescue,mutual aid given
August 28,vehicle fire – Haas Rd,vehicle fire
September 8,dumpster fire – County Rt 67,dumpster fire
September 9,smoke condition – Chelsea Dr,smoke condition
September 16,EMS assist – Burke Rd,EMS assist
September 20,motor vehicle accident – County Rt 68,motor vehicle accident
September 21,power lines – County Rt 70,power lines
September 21,fire alarm activation – Wilbur Rd,fire alarm activation
September 29,fire alarm activation – Wilbur Rd,fire alarm activation
September 30,fire alarm activation – Wilbur Rd,fire alarm activation
October 4,fire alarm activation – Schuyler Hills Dr,fire alarm activation
October 6,structure fire – Brown Rd,structure fire
October 10,EMS assist – Duell Rd,EMS assist
October 14,structure fire – County Rt 68,structure fire
October 17,service call – NYS Rt 9P,service call
October 23,power lines – Louden Rd,power lines
October 24,brush fire – Loon Way,brush fire
October 26,EMS assist – County Rt 68,EMS assist
October 28,structure fire – NYS Rt 9P,structure fire
